Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.000128,0,0x78,0x16,Write,ACK
0.000233,0,0x78,0x20,Write,ACK
0.0019845,1,0x78,0x4F,Write,ACK
0.002089,1,0x78,0xC7,Write,ACK
0.003937,2,0x78,0x1D,Write,ACK
0.004042,2,0x78,0x70,Write,ACK
0.005891,3,0x78,0x3A,Write,ACK
0.005996,3,0x78,0x01,Write,ACK
0.0078455,4,0x78,0x50,Write,ACK
0.00795,4,0x78,0x4F,Write,ACK
0.258127,5,0x78,0x4F,Write,ACK
0.258326,6,0x79,0xC7,Read,NAK
0.2585815,7,0x78,0x50,Write,ACK
0.2587805,8,0x79,0x4F,Read,NAK
0.2590345,9,0x78,0x51,Write,ACK
0.259233,10,0x79,0x15,Read,NAK
0.2594855,11,0x78,0x52,Write,ACK
0.2596845,12,0x79,0x1C,Read,NAK
0.259937,13,0x78,0x46,Write,ACK
0.260136,14,0x79,0x2A,Read,NAK
0.2603875,15,0x78,0x48,Write,ACK
0.2605865,16,0x79,0x23,Read,NAK
0.2608395,17,0x78,0x49,Write,ACK
0.261038,18,0x79,0x63,Read,NAK
0.2612905,19,0x78,0x4A,Write,ACK
0.261489,20,0x79,0x07,Read,NAK
0.261741,21,0x78,0x4B,Write,ACK
0.2619395,22,0x79,0xC7,Read,NAK
0.2621915,23,0x78,0x4C,Write,ACK
0.2623905,24,0x79,0xC7,Read,NAK
0.262642,25,0x78,0x4D,Write,ACK
0.262841,26,0x79,0xC7,Read,NAK
0.2630925,27,0x78,0x4E,Write,ACK
0.2632915,28,0x79,0x5C,Read,NAK
0.263543,29,0x78,0x03,Write,ACK
0.263742,30,0x79,0xDC,Read,NAK
0.263993,31,0x78,0x03,Write,ACK
0.264192,32,0x79,0xDC,Read,NAK
0.264444,33,0x78,0x03,Write,ACK
0.2646425,34,0x79,0xDC,Read,NAK
0.2650345,35,0x78,0x2B,Write,ACK
0.265233,36,0x79,0x20,Read,NAK
0.2654865,37,0x78,0x2B,Write,ACK
0.265579,37,0x78,0x20,Write,ACK
0.2663395,38,0x78,0x17,Write,ACK
0.2665385,39,0x79,0x20,Read,NAK
0.266797,40,0x78,0x2B,Write,ACK
0.266996,41,0x79,0x20,Read,NAK
0.2672495,42,0x78,0x2B,Write,ACK
0.267448,43,0x79,0x20,Read,NAK
0.267699,44,0x78,0x2B,Write,ACK
0.2677915,44,0x78,0x20,Write,ACK
0.268545,45,0x78,0x17,Write,ACK
0.2687435,46,0x79,0x20,Read,NAK
0.2689935,47,0x78,0x17,Write,ACK
0.269086,47,0x78,0x20,Write,ACK
0.2698645,48,0x78,0x16,Write,ACK
0.2700635,49,0x79,0x20,Read,NAK
0.270328,50,0x78,0x16,Write,ACK
0.2704205,50,0x78,0x22,Write,ACK
0.270683,51,0x78,0x1D,Write,ACK
0.270882,52,0x79,0x70,Read,NAK
0.271144,53,0x78,0x1D,Write,ACK
0.2712365,53,0x78,0x70,Write,ACK
0.27201,54,0x78,0x18,Write,ACK
0.272209,55,0x79,0x60,Read,NAK
0.2724595,56,0x78,0x18,Write,ACK
0.272552,56,0x78,0x60,Write,ACK
0.2733065,57,0x78,0x19,Write,ACK
0.2735055,58,0x79,0x3C,Read,NAK
0.273756,59,0x78,0x19,Write,ACK
0.2738485,59,0x78,0x3C,Write,ACK
0.2746035,60,0x78,0x27,Write,ACK
0.2748025,61,0x79,0x28,Read,NAK
0.275053,62,0x78,0x27,Write,ACK
0.2751455,62,0x78,0x28,Write,ACK
0.275902,63,0x78,0x18,Write,ACK
0.276101,64,0x79,0x60,Read,NAK
0.276351,65,0x78,0x18,Write,ACK
0.276444,65,0x78,0x60,Write,ACK
0.2772015,66,0x78,0x33,Write,ACK
0.2774005,67,0x79,0x08,Read,NAK
0.2776565,68,0x78,0x33,Write,ACK
0.277855,69,0x79,0x08,Read,NAK
0.2781065,70,0x78,0x33,Write,ACK
0.278199,70,0x78,0x08,Write,ACK
0.2789535,71,0x78,0x33,Write,ACK
0.2791525,72,0x79,0x08,Read,NAK
0.279403,73,0x78,0x33,Write,ACK
0.2794955,73,0x78,0x08,Write,ACK
0.280254,74,0x78,0x33,Write,ACK
0.280453,75,0x79,0x08,Read,NAK
0.2807075,76,0x78,0x33,Write,ACK
0.280906,77,0x79,0x08,Read,NAK
0.2811565,78,0x78,0x33,Write,ACK
0.281249,78,0x78,0x08,Write,ACK
0.2820045,79,0x78,0x33,Write,ACK
0.282203,80,0x79,0x08,Read,NAK
0.282453,81,0x78,0x33,Write,ACK
0.2825455,81,0x78,0x08,Write,ACK
0.283299,82,0x78,0x33,Write,ACK
0.283498,83,0x79,0x08,Read,NAK
0.283748,84,0x78,0x33,Write,ACK
0.2838405,84,0x78,0x08,Write,ACK
0.284594,85,0x78,0x33,Write,ACK
0.284793,86,0x79,0x08,Read,NAK
0.285043,87,0x78,0x33,Write,ACK
0.2851355,87,0x78,0x08,Write,ACK
0.303593,88,0x78,0x18,Write,ACK
0.303792,89,0x79,0x60,Read,NAK
0.304045,90,0x78,0x18,Write,ACK
0.3041375,90,0x78,0x60,Write,ACK
0.3049025,91,0x78,0x18,Write,ACK
0.3051015,92,0x79,0x60,Read,NAK
0.305352,93,0x78,0x18,Write,ACK
